### attributed: comb=297274 seq=37061 mux=128071 mem=97 membits=472564  (unattributed cells=0)

hierarchy path                                                      comb      seq      mux   mux%   seq%   mem   membits   %tot
-------------------------------------------------------------------------------------------------------------------------------
clusters.cluster.sockets.socket.cores.core.lmem_unit.local_mem         0        4        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.icache                                 3        0        0   0.0%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.icache.caches.cache_wrap.cache         1        2        0   0.0%  66.7%     0         0   0.0%
clusters.cluster.sockets.socket.dcache.caches.cache_wrap.core_         2        0        0   0.0%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.schedule_if                 2        0        1  50.0%   0.0%     0         0   0.0%
clusters                                                               1        0        0   0.0%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.execute.alu_unit.in         1        0        0   0.0%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.icache.caches.cache_wrap.cache         1        0        0   0.0%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.dcache.arb_core_bus_if                 1        0        0   0.0%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.dcache.caches.cache_wrap.mem_b         1        0        0   0.0%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.dcache.cache_mem_bus_if                1        0        0   0.0%   0.0%     0         0   0.0%
clusters.cluster.sockets.socket.dcache.caches.cache_wrap.cache         1        0        0   0.0%   0.0%     0         0   0.0%
clusters.__cluster_reset                                               0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.__l2_reset                                            0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.l2cache.__nc_bypass_reset                             0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.__socket_reset                                0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.__dcache_reset                         0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.__icache_reset                         0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.__core_reset                     0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.__commit_reset              0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.__decode_reset              0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.__execute_reset             0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.__fetch_reset               0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.__issue_reset               0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.__lmem_unit_reset           0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.__schedule_reset            0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.commit.__arb_reset          0        1        0   0.0% 100.0%     0         0   0.0%
clusters.cluster.sockets.socket.cores.core.execute.__alu_reset         0        1        0   0.0% 100.0%     0         0   0.0%
