path	nvars	sumw	maxw	mean_w	bw_mean_w
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_merged_slice.i_multifmt_slice.gen_num_lanes[0].active_lane.lane_instance.genblk1.i_fpnew_divsqrt_multi.gen_output_pipeline[7]	1	1	1	1.00	1.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_merged_slice.i_multifmt_slice.gen_num_lanes[0].active_lane.lane_instance.genblk1.i_fpnew_divsqrt_multi.i_divsqrt_lei	512	12493	384	24.40	81.81
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_merged_slice.i_multifmt_slice.gen_num_lanes[0].active_lane.lane_instance.genblk1.i_fpnew_divsqrt_multi.i_divsqrt_lei.fpu_norm_U0	49	752	64	15.35	46.22
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_merged_slice.i_multifmt_slice.gen_num_lanes[0].active_lane.lane_instance.genblk1.i_fpnew_divsqrt_multi.i_divsqrt_lei.nrbd_nrsc_U0	326	8528	62	26.16	47.54
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_merged_slice.i_multifmt_slice.gen_num_lanes[0].active_lane.lane_instance.genblk1.i_fpnew_divsqrt_multi.i_divsqrt_lei.nrbd_nrsc_U0.control_U0	299	8301	62	27.76	47.71
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_merged_slice.i_multifmt_slice.gen_num_lanes[0].active_lane.lane_instance.genblk1.i_fpnew_divsqrt_multi.i_divsqrt_lei.nrbd_nrsc_U0.control_U0.genblk4[0]	13	217	58	16.69	51.29
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_merged_slice.i_multifmt_slice.gen_num_lanes[0].active_lane.lane_instance.genblk1.i_fpnew_divsqrt_multi.i_divsqrt_lei.nrbd_nrsc_U0.control_U0.genblk4[0].iteration_div_sqrt	13	217	58	16.69	51.29
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_merged_slice.i_multifmt_slice.gen_num_lanes[0].active_lane.lane_instance.genblk1.i_fpnew_divsqrt_multi.i_divsqrt_lei.nrbd_nrsc_U0.control_U0.genblk4[1]	13	217	58	16.69	51.29
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_merged_slice.i_multifmt_slice.gen_num_lanes[0].active_lane.lane_instance.genblk1.i_fpnew_divsqrt_multi.i_divsqrt_lei.nrbd_nrsc_U0.control_U0.genblk4[1].iteration_div_sqrt	13	217	58	16.69	51.29
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_merged_slice.i_multifmt_slice.gen_num_lanes[0].active_lane.lane_instance.genblk1.i_fpnew_divsqrt_multi.i_divsqrt_lei.nrbd_nrsc_U0.control_U0.genblk4[2]	13	217	58	16.69	51.29
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_merged_slice.i_multifmt_slice.gen_num_lanes[0].active_lane.lane_instance.genblk1.i_fpnew_divsqrt_multi.i_divsqrt_lei.nrbd_nrsc_U0.control_U0.genblk4[2].iteration_div_sqrt	13	217	58	16.69	51.29
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_merged_slice.i_multifmt_slice.gen_num_lanes[0].active_lane.lane_instance.genblk1.i_fpnew_divsqrt_multi.i_divsqrt_lei.preprocess_U0	98	2777	384	28.34	201.71
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_merged_slice.i_multifmt_slice.gen_num_lanes[0].active_lane.lane_instance.genblk1.i_fpnew_divsqrt_multi.i_divsqrt_lei.preprocess_U0.LOD_Ua	11	976	384	88.73	267.83
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_merged_slice.i_multifmt_slice.gen_num_lanes[0].active_lane.lane_instance.genblk1.i_fpnew_divsqrt_multi.i_divsqrt_lei.preprocess_U0.LOD_Ua.gen_lzc	5	851	384	170.20	301.42
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_merged_slice.i_multifmt_slice.gen_num_lanes[0].active_lane.lane_instance.genblk1.i_fpnew_divsqrt_multi.i_divsqrt_lei.preprocess_U0.LOD_Ub	11	976	384	88.73	267.83
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_merged_slice.i_multifmt_slice.gen_num_lanes[0].active_lane.lane_instance.genblk1.i_fpnew_divsqrt_multi.i_divsqrt_lei.preprocess_U0.LOD_Ub.gen_lzc	5	851	384	170.20	301.42
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_merged_slice.i_multifmt_slice.gen_num_lanes[0].pack_fp_result[0]	1	32	32	32.00	32.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_merged_slice.i_multifmt_slice.gen_num_lanes[0].pack_fp_result[1]	1	32	32	32.00	32.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_merged_slice.i_multifmt_slice.gen_num_lanes[0].pack_fp_result[2]	1	32	32	32.00	32.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_merged_slice.i_multifmt_slice.gen_num_lanes[0].pack_fp_result[3]	1	32	32	32.00	32.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_merged_slice.i_multifmt_slice.gen_num_lanes[0].pack_fp_result[4]	1	32	32	32.00	32.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_parallel_slices[0]	2	2	1	1.00	1.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_parallel_slices[1]	2	2	1	1.00	1.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_parallel_slices[2]	2	2	1	1.00	1.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_parallel_slices[3]	2	2	1	1.00	1.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.gen_parallel_slices[4]	2	2	1	1.00	1.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.i_arbiter	75	1510	280	20.13	97.46
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.i_arbiter.gen_arbiter	58	1150	280	19.83	89.06
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.i_arbiter.gen_arbiter.gen_int_rr	30	340	32	11.33	23.78
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.i_arbiter.gen_arbiter.gen_int_rr.gen_fair_arb	29	337	32	11.62	23.96
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.i_arbiter.gen_arbiter.gen_int_rr.gen_fair_arb.i_lzc_lower	11	158	32	14.36	25.30
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.i_arbiter.gen_arbiter.gen_int_rr.gen_fair_arb.i_lzc_lower.gen_lzc	5	84	32	16.80	22.79
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.i_arbiter.gen_arbiter.gen_int_rr.gen_fair_arb.i_lzc_upper	11	158	32	14.36	25.30
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.i_arbiter.gen_arbiter.gen_int_rr.gen_fair_arb.i_lzc_upper.gen_lzc	5	84	32	16.80	22.79
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.i_arbiter.gen_arbiter.gen_levels[0]	3	65	32	21.67	31.52
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.i_arbiter.gen_arbiter.gen_levels[0].gen_level[0]	3	65	32	21.67	31.52
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.i_arbiter.gen_arbiter.gen_levels[1]	6	130	32	21.67	31.52
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.i_arbiter.gen_arbiter.gen_levels[1].gen_level[0]	3	65	32	21.67	31.52
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.i_arbiter.gen_arbiter.gen_levels[1].gen_level[1]	3	65	32	21.67	31.52
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.i_arbiter.gen_arbiter.gen_levels[2]	12	260	32	21.67	31.52
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.i_arbiter.gen_arbiter.gen_levels[2].gen_level[0]	3	65	32	21.67	31.52
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.i_arbiter.gen_arbiter.gen_levels[2].gen_level[1]	3	65	32	21.67	31.52
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.i_arbiter.gen_arbiter.gen_levels[2].gen_level[2]	3	65	32	21.67	31.52
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[1].i_opgroup_block.i_arbiter.gen_arbiter.gen_levels[2].gen_level[3]	3	65	32	21.67	31.52
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2]	300	4265	280	14.22	71.04
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block	297	4222	280	14.22	71.50
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.gen_parallel_slices[0]	173	1958	128	11.32	39.23
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.gen_parallel_slices[0].active_format	171	1956	128	11.44	39.27
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.gen_parallel_slices[0].active_format.i_fmt_slice	168	1922	128	11.44	39.43
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.gen_parallel_slices[0].active_format.i_fmt_slice.gen_num_lanes[0]	117	1343	128	11.48	42.53
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.gen_parallel_slices[0].active_format.i_fmt_slice.gen_num_lanes[0].active_lane	115	1310	128	11.39	42.82
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.gen_parallel_slices[0].active_format.i_fmt_slice.gen_num_lanes[0].active_lane.lane_instance	109	1206	128	11.06	42.24
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.gen_parallel_slices[0].active_format.i_fmt_slice.gen_num_lanes[0].active_lane.lane_instance.i_noncomp	109	1206	128	11.06	42.24
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.gen_parallel_slices[0].active_format.i_fmt_slice.gen_num_lanes[0].active_lane.lane_instance.i_noncomp.gen_input_pipeline[0]	1	1	1	1.00	1.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.gen_parallel_slices[0].active_format.i_fmt_slice.gen_num_lanes[0].active_lane.lane_instance.i_noncomp.gen_output_pipeline[0]	1	1	1	1.00	1.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.gen_parallel_slices[0].active_format.i_fmt_slice.gen_num_lanes[0].active_lane.lane_instance.i_noncomp.i_class_a	26	293	64	11.27	35.92
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.gen_parallel_slices[0].active_format.i_fmt_slice.gen_num_lanes[0].active_lane.lane_instance.i_noncomp.i_class_a.gen_num_values[0]	9	40	32	4.44	25.80
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.gen_parallel_slices[0].active_format.i_fmt_slice.gen_num_lanes[0].active_lane.lane_instance.i_noncomp.i_class_a.gen_num_values[1]	9	40	32	4.44	25.80
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.gen_parallel_slices[0].active_format.i_fmt_slice.gen_num_lanes[0].active_lane.lane_instance.i_noncomp.sign_injections	2	2	1	1.00	1.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.gen_parallel_slices[1]	2	2	1	1.00	1.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.gen_parallel_slices[2]	2	2	1	1.00	1.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.gen_parallel_slices[3]	2	2	1	1.00	1.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.gen_parallel_slices[4]	2	2	1	1.00	1.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.i_arbiter	75	1510	280	20.13	97.46
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.i_arbiter.gen_arbiter	58	1150	280	19.83	89.06
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.i_arbiter.gen_arbiter.gen_int_rr	30	340	32	11.33	23.78
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.i_arbiter.gen_arbiter.gen_int_rr.gen_fair_arb	29	337	32	11.62	23.96
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.i_arbiter.gen_arbiter.gen_int_rr.gen_fair_arb.i_lzc_lower	11	158	32	14.36	25.30
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.i_arbiter.gen_arbiter.gen_int_rr.gen_fair_arb.i_lzc_lower.gen_lzc	5	84	32	16.80	22.79
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.i_arbiter.gen_arbiter.gen_int_rr.gen_fair_arb.i_lzc_upper	11	158	32	14.36	25.30
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.i_arbiter.gen_arbiter.gen_int_rr.gen_fair_arb.i_lzc_upper.gen_lzc	5	84	32	16.80	22.79
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.i_arbiter.gen_arbiter.gen_levels[0]	3	65	32	21.67	31.52
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.i_arbiter.gen_arbiter.gen_levels[0].gen_level[0]	3	65	32	21.67	31.52
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.i_arbiter.gen_arbiter.gen_levels[1]	6	130	32	21.67	31.52
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.i_arbiter.gen_arbiter.gen_levels[1].gen_level[0]	3	65	32	21.67	31.52
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.i_arbiter.gen_arbiter.gen_levels[1].gen_level[1]	3	65	32	21.67	31.52
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.i_arbiter.gen_arbiter.gen_levels[2]	12	260	32	21.67	31.52
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.i_arbiter.gen_arbiter.gen_levels[2].gen_level[0]	3	65	32	21.67	31.52
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.i_arbiter.gen_arbiter.gen_levels[2].gen_level[1]	3	65	32	21.67	31.52
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.i_arbiter.gen_arbiter.gen_levels[2].gen_level[2]	3	65	32	21.67	31.52
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[2].i_opgroup_block.i_arbiter.gen_arbiter.gen_levels[2].gen_level[3]	3	65	32	21.67	31.52
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[3]	545	11074	280	20.32	67.56
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[3].i_opgroup_block	542	11026	280	20.34	67.75
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[3].i_opgroup_block.gen_merged_slice	416	8723	192	20.97	59.23
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[3].i_opgroup_block.gen_merged_slice.i_multifmt_slice	413	8687	192	21.03	59.35
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[3].i_opgroup_block.gen_merged_slice.i_multifmt_slice.extend_fp_result[0]	1	32	32	32.00	32.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[3].i_opgroup_block.gen_merged_slice.i_multifmt_slice.extend_fp_result[1]	1	32	32	32.00	32.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[3].i_opgroup_block.gen_merged_slice.i_multifmt_slice.extend_fp_result[2]	1	32	32	32.00	32.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[3].i_opgroup_block.gen_merged_slice.i_multifmt_slice.extend_fp_result[3]	1	32	32	32.00	32.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[3].i_opgroup_block.gen_merged_slice.i_multifmt_slice.extend_fp_result[4]	1	32	32	32.00	32.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[3].i_opgroup_block.gen_merged_slice.i_multifmt_slice.extend_or_mute_int_result[0]	1	32	32	32.00	32.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[3].i_opgroup_block.gen_merged_slice.i_multifmt_slice.extend_or_mute_int_result[0].extend_int_result	1	32	32	32.00	32.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[3].i_opgroup_block.gen_merged_slice.i_multifmt_slice.extend_or_mute_int_result[1]	1	32	32	32.00	32.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[3].i_opgroup_block.gen_merged_slice.i_multifmt_slice.extend_or_mute_int_result[1].extend_int_result	1	32	32	32.00	32.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.genblk1[0].fpu_fpnew.genblk3[2].fpnew_core.gen_operation_groups[3].i_opgroup_block.gen_merged_slice.i_multifmt_slice.extend_or_mute_int_result[2]	1	32	32	32.00	32.00
