path	nvars	sumw	maxw	mean_w	bw_mean_w
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].muldiv_unit.genblk2[2]	2	66	33	33.00	33.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.genblk1[0].muldiv_unit.genblk2[3]	2	66	33	33.00	33.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.per_block_commit_if[0]	5	242	176	48.40	136.47
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.alu_unit.per_block_execute_if[0]	5	541	475	108.20	420.84
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.branch_ctl_if[0]	4	35	31	8.75	27.63
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.commit_csr_if	1	44	44	44.00	44.00
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.commit_if[0]	5	242	176	48.40	136.47
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.commit_if[1]	5	242	176	48.40	136.47
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.commit_if[2]	5	242	176	48.40	136.47
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.commit_if[3]	5	242	176	48.40	136.47
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.dispatch_if[0]	3	474	472	158.00	470.01
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.dispatch_if[1]	3	474	472	158.00	470.01
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.dispatch_if[2]	3	474	472	158.00	470.01
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.dispatch_if[3]	3	474	472	158.00	470.01
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_csr_if[0]	5	13	5	2.60	3.31
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit	8978	182049	682	20.28	103.72
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.commit_if[0]	5	242	176	48.40	136.47
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.dispatch_if[0]	3	474	472	158.00	470.01
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.dispatch_unit	45	2375	475	52.78	352.04
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.dispatch_unit.dispatch_if[0]	3	474	472	158.00	470.01
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.dispatch_unit.execute_if[0]	5	541	475	108.20	420.84
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.execute.fpu_unit.dispatch_unit.genblk5[0]	6	7	2	1.17	1.29
