# ncycles	1612524
path	depth	nbits	toggles	busy	nbursts	bsum	maxburst	nidle	isum	maxidle	bhist	ihist	thresh	busy2	nbursts2	bsum2	maxburst2	nidle2	isum2	maxidle2	bhist2	ihist2
tb.dut.clusters[0].cluster.per_socket_mem_bus_if[0]	4	1298	23840	338	33	338	251	34	1612186	1602993	2,11,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,12,2,3,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	7	270	14	270	248	15	1612254	1603003	10,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,2,4,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.socket_dcr_bus_if	4	45	25	10	1	10	10	2	1612514	1612505	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	2	7	3	7	4	4	1612517	1612506	1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.socket_dcr_bus_tmp_if	4	45	25	10	1	10	10	2	1612514	1612505	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	2	7	3	7	4	4	1612517	1612506	1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0]	4	401737	8769363383	1612513	2	1612513	1612494	2	11	10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2009	1579339	4162	1579339	769	4163	33185	1007	20,2067,6,4,1,1,3,1,1,3,0,0,0,6,0,0,0,0,0,1,0,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2076,9,3,5,0,1,0,0,0,1,1882,164,0,0,0,1,2,2,5,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0].socket	5	401736	8769363381	1612513	2	1612513	1612494	2	11	10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2009	1579339	4162	1579339	769	4163	33185	1007	20,2067,6,4,1,1,3,1,1,3,0,0,0,6,0,0,0,0,0,1,0,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2076,9,3,5,0,1,0,0,0,1,1882,164,0,0,0,1,2,2,5,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0].socket.core_dcr_bus_if	6	45	25	10	1	10	10	2	1612514	1612505	0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	2	7	3	7	4	4	1612517	1612506	1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0]	6	263404	8593467440	1612512	2	1612512	1612493	2	12	10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1318	1583647	2356	1583647	774	2357	28877	408	283,6,2,1,5,0,0,1,0,1,0,1,0,0,0,0,8,0,0,0,0,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	11,9,1,1,4,0,23,1,16,2031,3,1,0,0,1,1,247,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core	7	263403	8593467438	1612512	2	1612512	1612493	2	12	10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1318	1583647	2356	1583647	774	2357	28877	408	283,6,2,1,5,0,0,1,0,1,0,1,0,0,0,0,8,0,0,0,0,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	11,9,1,1,4,0,23,1,16,2031,3,1,0,0,1,1,247,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.branch_ctl_if[0]	8	35	68091	25743	7222	25743	8	7223	1586781	756	1,551,4100,516,2052,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	273,10,3,8,510,2,2050,256,2049,1,0,0,0,0,0,0,10,1,0,1,1,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2	12404	11572	12404	8	11573	1600120	756	10764,799,3,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	4626,7,2,4,257,2,2050,511,3,2,1,0,2047,0,0,0,9,2,0,1,1,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.commit	8	2317	361066720	1595420	4906	1595420	1013	4907	17104	299	2048,1,0,0,286,1,253,5,0,253,3,3,2,0,0,0,3,0,0,0,0,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	10,508,2075,2051,252,3,2,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	12	1587605	6985	1587605	768	6986	24919	323	2053,26,266,2048,256,17,2,251,5,3,1,0,0,1,1,1,6,0,0,0,0,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2077,6,2060,503,9,2070,251,3,2,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.commit.commit_arb_if[0]	9	242	90471816	1064273	521302	1064273	15	521303	548251	317	3,514613,2052,513,2058,3,1,2048,3,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	516369,2072,5,7,509,27,3,254,3,2,2047,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2	1055559	530014	1055559	15	530015	556965	317	4624,525363,3,3,8,2,0,1,2,0,1,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	525080,2072,6,7,509,27,3,254,3,2,2047,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.commit.commit_csr_if	9	44	1085830	542920	521350	542920	8	521351	1069604	327	514657,2074,515,2053,1,0,2047,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	51,516367,2071,5,7,509,27,3,254,4,2,2047,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2	271460	271460	271460	1	271461	1341064	333	271460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	8694,23,2072,4,256012,2062,21,2,248,11,3,0,2046,0,15,243,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.commit.commit_if[0]	9	242	467636	27800	7222	27800	9	7223	1584724	756	1,552,4098,512,9,2047,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	272,12,2,9,510,2048,4,255,2049,1,0,0,0,0,0,0,10,1,0,1,1,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2	17033	15941	17033	8	15942	1595491	756	14867,1065,6,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6943,2060,2,9,510,2048,4,255,2049,1,0,0,0,0,0,0,10,1,0,1,1,2048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.commit.commit_if[1]	9	242	297	69	32	69	6	33	1612455	1604327	0,30,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0	2	68	33	68	4	34	1612456	1604327	1,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1,0,0,0,1,26,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
