# ncycles	4186487
path	depth	nbits	toggles	busy	nbursts	bsum	maxburst	nidle	isum	maxidle	bhist	ihist	thresh	busy2	nbursts2	bsum2	maxburst2	nidle2	isum2	maxidle2	bhist2	ihist2
tb.dut.clusters[0].cluster.per_socket_mem_bus_if[0]	4	1298	10019470	246228	67287	246228	385	67288	3940259	3206	1692,25947,27975,798,2403,237,378,42,5634,306,510,102,69,36,9,9,1092,27,6,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	9707,1056,3561,843,1035,1404,1821,1710,849,780,4578,1593,933,750,702,282,19887,5297,3927,2555,1924,1959,129,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	7	136634	50817	136634	384	50818	4049853	3207	27343,15050,303,318,111,18,18,6093,102,306,3,15,6,0,0,684,438,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1113,954,994,738,579,480,651,762,957,567,597,1536,639,1026,786,795,20887,4594,5440,2657,1960,1953,147,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.socket_dcr_bus_if	4	45	83	30	3	30	10	4	4186457	1395486	0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	2	21	9	21	4	10	4186466	1395487	3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.socket_dcr_bus_tmp_if	4	45	83	30	3	30	10	4	4186457	1395486	0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	2	21	9	21	4	10	4186466	1395487	3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0]	4	401737	17072822692	4186454	6	4186454	1395465	6	33	10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2009	3429525	270307	3429525	768	270308	756962	507	75439,24637,21411,14076,12877,11081,6615,6203,5388,8302,9505,4615,1922,2680,1509,2286,22322,37066,1962,336,69,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	168147,41615,22445,8610,5383,3787,5335,2219,1504,1496,945,624,436,463,355,795,3856,1855,385,40,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0].socket	5	401736	17072822686	4186454	6	4186454	1395465	6	33	10	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2009	3429525	270307	3429525	768	270308	756962	507	75439,24637,21411,14076,12877,11081,6615,6203,5388,8302,9505,4615,1922,2680,1509,2286,22322,37066,1962,336,69,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	168147,41615,22445,8610,5383,3787,5335,2219,1504,1496,945,624,436,463,355,795,3856,1855,385,40,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0].socket.core_dcr_bus_if	6	45	83	30	3	30	10	4	4186457	1395486	0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	2	21	9	21	4	10	4186466	1395487	3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0]	6	263404	12479413005	4186447	6	4186447	1395464	6	40	12	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1318	3319073	218066	3319073	916	218067	867414	1088	41209,24592,15371,15012,11904,8534,6717,6249,8191,7075,5348,3329,1745,1584,1506,1548,19211,35248,2829,720,96,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	100198,44236,19649,12948,9719,5621,3655,2812,1953,1602,1086,1084,711,719,598,690,7499,2823,407,39,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core	7	263403	12479412999	4186447	6	4186447	1395464	6	40	12	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0	0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	1318	3319073	218066	3319073	916	218067	867414	1088	41209,24592,15371,15012,11904,8534,6717,6249,8191,7075,5348,3329,1745,1584,1506,1548,19211,35248,2829,720,96,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	100198,44236,19649,12948,9719,5621,3655,2812,1953,1602,1086,1084,711,719,598,690,7499,2823,407,39,12,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.branch_ctl_if[0]	8	35	11061433	1278803	365348	1278803	18	365349	2907684	956	27533,123408,16371,80373,85974,23010,5820,1539,957,165,75,12,12,21,72,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	45915,21738,27732,21642,22806,51264,64386,39246,6456,3864,2229,2496,2646,3636,11448,1197,28713,7716,186,24,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	2	1269995	368384	1269995	17	368385	2916492	956	34451,121818,15801,79812,86127,22662,5112,1413,873,138,69,9,9,15,72,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	47325,23124,27690,21741,22752,51288,64269,39270,6282,4218,2208,2565,2667,3639,11466,1203,28695,7752,195,27,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tb.dut.clusters[0].cluster.sockets[0].socket.cores[0].core.commit	8	2317	510008460	3556192	218094	3556192	200	218095	630295	301	6975,8,0,3,29349,9256,5649,6537,24354,28179,10191,3843,2406,5223,1683,6042,50217,26151,1998,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	97447,43020,28281,14628,10188,10860,1974,2409,1365,976,372,513,230,348,289,414,4682,90,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	12	2906745	386171	2906745	110	386172	1279742	325	13895,1199,119107,19719,19908,17532,31911,30390,49164,34320,10554,4170,3261,3063,2679,1374,16944,6783,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	110070,77838,74289,45627,28140,16611,9156,9645,2316,3099,1135,1128,507,399,348,326,5382,147,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
